t=-1 SYN
t=3687 0
t=6953 1
t=25814 2
t=72399 3
t=79750 3
t=87244 5
t=91222 6
t=94128 6
t=113314 7
t=136132 9
t=140341 10
t=143422 10
t=155128 11
t=174105 12
t=193178 13
t=196538 13
t=227904 14
t=228387 14
t=273735 15
t=277227 15
t=320981 16
t=324414 16
t=340919 17
t=341458 17
t=355201 18
t=355695 18
t=370427 19
t=373298 19
t=386137 20
t=404542 21
t=408176 21
t=423003 22
t=442429 23
t=442932 23
t=461461 24
t=468548 24
t=490458 25
t=494442 25
t=508558 26
t=512512 26
t=524065 27
t=594543 28
t=608736 29
t=611427 29
t=651080 30
t=672717 31
t=673183 31
t=705862 1
t=706349 1
t=720029 3
t=720513 5
t=721647 5
t=721648 4
t=725286 5
t=736334 6
t=766344 8
t=766675 9
t=769016 9
t=780985 10
t=810791 11
t=813695 11
t=854160 12
t=856980 12
t=870484 13
t=870891 13
t=890733 14
t=891205 14
t=912204 15
t=919202 15
t=933338 16
t=937188 16
t=980293 17
t=983792 17
t=998819 18
t=1017296 19
t=1019861 19
t=1031376 20
t=1044165 21
t=1047900 21
t=1064680 22
t=1065051 22
t=1093048 23
t=1098725 23
t=1113511 24
t=1155176 25
t=1168418 26
t=1171131 26
t=1189134 27
t=1189513 27
t=1210603 28
t=1213592 28
t=1228552 29
t=1258002 30
t=1258417 30
t=1275842 31
t=1290974 0
t=1308129 1
t=1308603 1
t=1368198 3
t=1371136 4
t=1371170 5
t=1371201 5
t=1371418 5
t=1373702 5
t=1377387 6
t=1380737 6
t=1396125 7
t=1410971 9
t=1428511 11
t=1446351 12
t=1446724 12
t=1461618 13
t=1464633 13
t=1506267 14
t=1513755 14
t=1521990 15
t=1522437 15
t=1570015 16
t=1619689 17
t=1654789 18
t=1655244 18
t=1677096 19
t=1680988 19
t=1691315 20
t=1695277 20
t=1722130 21
t=1756518 22
t=1757030 22
t=1775653 23
t=1779797 23
t=1794491 24
t=1817135 25
t=1851981 26
t=1871000 27
t=1871002 EOT
