t=-1 SYN
t=1 0
t=21704 1
t=21706 2
t=37826 3
t=37828 4
t=52766 5
t=52768 6
t=55876 7
t=55878 8
t=55880 9
t=55882 10
t=132576 11
t=132578 12
t=193037 13
t=207270 14
t=224807 15
t=259896 16
t=277511 17
t=291820 18
t=324644 19
t=342097 20
t=355821 21
t=373232 22
t=388653 23
t=409834 24
t=424952 25
t=443372 26
t=460319 27
t=475769 28
t=490474 29
t=507549 30
t=526024 31
t=544023 0
t=561122 1
t=573508 2
t=573510 3
t=591704 4
t=591706 5
t=606979 6
t=606981 7
t=613881 8
t=613883 9
t=613885 10
t=614552 11
t=614554 12
t=620923 13
t=620925 14
t=684858 15
t=713510 16
t=727875 17
t=748364 18
t=780105 19
t=799056 20
t=841032 21
t=855373 22
t=874934 23
t=897579 24
t=913378 25
t=972242 26
t=986866 27
t=1004027 28
t=1022851 29
t=1078500 30
t=1092135 31
t=1108658 0
t=1122937 1
t=1156278 2
t=1156280 3
t=1159788 4
t=1159790 5
t=1159792 6
t=1166756 7
t=1166758 8
t=1166760 9
t=1216638 10
t=1216640 11
t=1239023 12
t=1254491 13
t=1277549 14
t=1297035 15
t=1316492 16
t=1350925 17
t=1368728 18
t=1391063 19
t=1420341 20
t=1484082 21
t=1514260 22
t=1531928 23
t=1559196 24
t=1574863 25
t=1590929 26
t=1653386 27
t=1715464 EOT
